,created_time,id,message
141,2017-01-21T23:35:35+0000,10218552285255958_10211508276600144,
142,2017-01-21T16:38:43+0000,10218552285255958_10211504384542845,
143,2017-01-13T22:48:49+0000,10218552285255958_10211428471885076,Panama Papers 🌎🎫 #doschicasdeorigenmarroquí #secuestranaunchilenocatólico #elactonoestarevendicadotodavía Sara El Bakkali Rimoulou Rimoo
144,2017-01-12T22:59:09+0000,10218552285255958_10211417585772930,El mapa del tesoro
145,2017-01-11T02:35:34+0000,10218552285255958_10211395399498287,Cuando te das cuenta que no habrá tanto sol como pensaste...
146,2017-01-11T00:22:47+0000,10218552285255958_10211394484955424,
147,2017-01-10T00:10:31+0000,10218552285255958_10211383749727050,Sara El Bakkali Rimoulou Rimoo
148,2017-01-08T21:33:34+0000,10218552285255958_10211374465934961,
149,2017-01-07T19:39:23+0000,10218552285255958_10211365179462805,
150,2016-12-31T18:53:01+0000,10218552285255958_10211296354462223,
151,2016-12-31T15:56:29+0000,10218552285255958_10211294651459649,
152,2016-12-26T03:11:14+0000,10218552285255958_10211244416483806,
153,2016-12-25T01:06:36+0000,10218552285255958_10211232082175456,
154,2016-12-10T00:00:49+0000,10218552285255958_10211058399873507,Sólo una y me voy
155,2016-12-09T21:39:14+0000,10218552285255958_10211057232724329,Las he dicho todas ...
156,2016-12-09T09:40:35+0000,10218552285255958_10211049435609406,
157,2016-12-08T01:19:25+0000,10218552285255958_10211027559662521,
158,2016-12-05T00:37:22+0000,10218552285255958_10210995582663116,
159,2016-11-30T05:40:15+0000,10218552285255958_10210945062640147,https://www.youtube.com/watch?v=34Na4j8AVgA
160,2016-11-26T04:00:46+0000,10218552285255958_10210902550377367,con el big boss
161,2016-11-20T20:47:20+0000,10218552285255958_10210854184048239,
162,2016-11-10T04:10:39+0000,10218552285255958_10210749010018954,
163,2016-11-09T02:29:39+0000,10218552285255958_10210736090295969,Ok... ¿ mañana a qué hora tenemos que presentarnos a construir el muro ? :(
164,2016-11-06T00:44:23+0000,10218552285255958_10210707623584319,Amén
165,2016-11-01T17:06:37+0000,10218552285255958_10210664356622672,un día normal de trabajo
166,2016-11-01T15:37:19+0000,10218552285255958_10210663592283564,Gracias FIFA!
167,2016-11-01T00:58:57+0000,10218552285255958_10210657711496548,
168,2016-10-30T01:09:41+0000,10218552285255958_10210635236054676,
169,2016-10-24T01:28:05+0000,10218552285255958_10210573408669030,
170,2016-10-23T23:57:48+0000,10218552285255958_10210572690171068,
171,2016-10-14T15:10:42+0000,10218552285255958_10210462946427543,Taquitos de desayuno
172,2016-10-08T02:50:25+0000,10218552285255958_10210397525912071,
173,2016-10-08T02:15:30+0000,10218552285255958_10210397300266430,
174,2016-10-06T19:28:43+0000,10218552285255958_10210385651535219,Lomito Saltado
175,2016-09-30T15:10:52+0000,10218552285255958_10210327294276324,3 años en México!!
176,2016-09-29T04:26:43+0000,10218552285255958_10210315583423560,
177,2016-09-28T20:16:24+0000,10218552285255958_10210312553147805,Arepeando Vanessa Lozada
178,2016-09-27T00:10:18+0000,10218552285255958_10210296886796156,
179,2016-09-11T20:18:19+0000,10218552285255958_10210156048755293,
180,2016-08-31T17:51:54+0000,10218552285255958_10210050062705708,"Me fui de Chile y ya nadie me preguntó donde estudié, o donde vivo."
181,2016-08-20T23:43:31+0000,10218552285255958_10209949720677220,
182,2016-07-21T07:00:55+0000,10218552285255958_10209686029325101,
183,2016-07-10T00:13:32+0000,10218552285255958_10209586323872527,
184,2016-07-01T15:43:15+0000,10218552285255958_10209520641630512,
185,2016-06-29T00:00:24+0000,10218552285255958_10209500209119712,http://statics.memedeportes.com/mmds/2016/06/MMD_905845_la_emotiva_carta_de_higuain_a_messi.jpg?cb=9592876
186,2016-06-27T02:55:05+0000,10218552285255958_10209485704437104,Siempre le tuve fe a Chile  y a Pizzi
187,2016-06-19T03:38:27+0000,10218552285255958_10209418634560399,ok...es el momento de tomar tu camiseta para ir de paseo por las calles de México.
188,2016-06-17T01:18:39+0000,10218552285255958_10209400846955720,
189,2016-06-11T01:08:08+0000,10218552285255958_10209350241330611,Futboleros bajando de su nubecita. No fue penal !
190,2016-06-10T23:53:08+0000,10218552285255958_10209349776919001,¿Se vale no cruzar la mitad de la cancha?
191,2016-06-06T00:55:01+0000,10218552285255958_10209306241070632,Ajajajajaja
